X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
67.709953,33.93911,1,,Afghanistan,2020/12/12 01:27:11+00,33.93911,67.709953,48116,38141,1945,8030,,,Afghanistan
20.1683,41.1533,2,,Albania,2020/12/12 01:27:11+00,41.1533,20.1683,46863,24136,977,21750,,,Albania
1.6596,28.0339,3,,Algeria,2020/12/12 01:27:11+00,28.0339,1.6596,91121,59590,2575,28956,,,Algeria
1.5218,42.5063,4,,Andorra,2020/12/12 01:27:11+00,42.5063,1.5218,7236,6598,78,560,,,Andorra
17.8739,-11.2027,5,,Angola,2020/12/12 01:27:11+00,-11.2027,17.8739,16061,8798,365,6898,,,Angola
-61.7964,17.0608,6,,Antigua and Barbuda,2020/12/12 01:27:11+00,17.0608,-61.7964,147,138,4,5,,,Antigua and Barbuda
-63.6167,-38.4161,7,,Argentina,2020/12/12 01:27:11+00,-38.4161,-63.6167,1489328,1324792,40606,123930,,,Argentina
45.0382,40.0691,8,,Armenia,2020/12/12 01:27:11+00,40.0691,45.0382,146317,123474,2445,20398,,,Armenia
149.0124,-35.4735,9,Australian Capital Territory,Australia,2020/12/12 01:27:11+00,-35.4735,149.0124,117,114,3,0,,,"Australian Capital Territory, Australia"
151.2093,-33.8688,10,New South Wales,Australia,2020/12/12 01:27:11+00,-33.8688,151.2093,4639,3191,53,1395,,,"New South Wales, Australia"
130.8456,-12.4634,11,Northern Territory,Australia,2020/12/12 01:27:11+00,-12.4634,130.8456,62,52,0,10,,,"Northern Territory, Australia"
153.0251,-27.4698,12,Queensland,Australia,2020/12/12 01:27:11+00,-27.4698,153.0251,1226,1199,6,21,,,"Queensland, Australia"
138.6007,-34.9285,13,South Australia,Australia,2020/12/12 01:27:11+00,-34.9285,138.6007,562,558,4,0,,,"South Australia, Australia"
147.3272,-42.8821,14,Tasmania,Australia,2020/12/12 01:27:11+00,-42.8821,147.3272,234,217,13,4,,,"Tasmania, Australia"
144.9631,-37.8136,15,Victoria,Australia,2020/12/12 01:27:11+00,-37.8136,144.9631,20350,19525,820,5,,,"Victoria, Australia"
115.8605,-31.9505,16,Western Australia,Australia,2020/12/12 01:27:11+00,-31.9505,115.8605,834,813,9,12,,,"Western Australia, Australia"
14.5501,47.5162,17,,Austria,2020/12/12 01:27:11+00,47.5162,14.5501,316581,273503,4289,38789,,,Austria
47.5769,40.1431,18,,Azerbaijan,2020/12/12 01:27:11+00,40.1431,47.5769,167155,103550,1840,61765,,,Azerbaijan
-78.035889,25.025885,19,,Bahamas,2020/12/12 01:27:11+00,25.025885,-78.035889,7623,6043,163,1417,,,Bahamas
50.55,26.0275,20,,Bahrain,2020/12/12 01:27:11+00,26.0275,50.55,88820,86867,347,1606,,,Bahrain
90.3563,23.685,21,,Bangladesh,2020/12/12 01:27:11+00,23.685,90.3563,487849,414318,6986,66545,,,Bangladesh
-59.5432,13.1939,22,,Barbados,2020/12/12 01:27:11+00,13.1939,-59.5432,292,269,7,16,,,Barbados
27.9534,53.7098,23,,Belarus,2020/12/12 01:27:11+00,53.7098,27.9534,156359,133930,1246,21183,,,Belarus
4.4024,51.2195,24,Antwerp,Belgium,2020/12/12 01:27:11+00,51.2195,4.4024,71368,0,0,71368,,,"Antwerp, Belgium"
4.3517,50.8503,25,Brussels,Belgium,2020/12/12 01:27:11+00,50.8503,4.3517,78152,0,0,78152,,,"Brussels, Belgium"
3.7373,51.0362,26,East Flanders,Belgium,2020/12/12 01:27:11+00,51.0362,3.7373,57603,0,0,57603,,,"East Flanders, Belgium"
4.5833,50.9167,27,Flemish Brabant,Belgium,2020/12/12 01:27:11+00,50.9167,4.5833,45941,0,0,45941,,,"Flemish Brabant, Belgium"
4.0621,50.5257,28,Hainaut,Belgium,2020/12/12 01:27:11+00,50.5257,4.0621,96379,0,0,96379,,,"Hainaut, Belgium"
5.8492,50.4496,29,Liege,Belgium,2020/12/12 01:27:11+00,50.4496,5.8492,93467,0,0,93467,,,"Liege, Belgium"
5.342,50.9739,30,Limburg,Belgium,2020/12/12 01:27:11+00,50.9739,5.342,25857,0,0,25857,,,"Limburg, Belgium"
5.4677,50.0547,31,Luxembourg,Belgium,2020/12/12 01:27:11+00,50.0547,5.4677,17109,0,0,17109,,,"Luxembourg, Belgium"
4.8221,50.331,32,Namur,Belgium,2020/12/12 01:27:11+00,50.331,4.8221,33294,0,0,33294,,,"Namur, Belgium"
,,33,Unknown,Belgium,2020/12/12 01:27:11+00,,,9890,0,17692,-7802,,,"Unknown, Belgium"
4.35,50.4,34,Walloon Brabant,Belgium,2020/12/12 01:27:11+00,50.4,4.35,23828,0,0,23828,,,"Walloon Brabant, Belgium"
3.1458,51.0536,35,West Flanders,Belgium,2020/12/12 01:27:11+00,51.0536,3.1458,47509,0,0,47509,,,"West Flanders, Belgium"
-88.4976,17.1899,36,,Belize,2020/12/12 01:27:11+00,17.1899,-88.4976,8965,4219,185,4561,,,Belize
2.3158,9.3077,37,,Benin,2020/12/12 01:27:11+00,9.3077,2.3158,3090,2972,44,74,,,Benin
90.4336,27.5142,38,,Bhutan,2020/12/12 01:27:11+00,27.5142,90.4336,434,395,0,39,,,Bhutan
-63.5887,-16.2902,39,,Bolivia,2020/12/12 01:27:11+00,-16.2902,-63.5887,146385,125716,9008,11661,,,Bolivia
17.6791,43.9159,40,,Bosnia and Herzegovina,2020/12/12 01:27:11+00,43.9159,17.6791,99543,63733,3250,32560,,,Bosnia and Herzegovina
24.6849,-22.3285,41,,Botswana,2020/12/12 01:27:11+00,-22.3285,24.6849,12501,9940,37,2524,,,Botswana
-70.812,-9.0238,42,Acre,Brazil,2020/12/12 01:27:11+00,-9.0238,-70.812,37902,32515,744,4643,,,"Acre, Brazil"
-36.782,-9.5713,43,Alagoas,Brazil,2020/12/12 01:27:11+00,-9.5713,-36.782,97562,93519,2366,1677,,,"Alagoas, Brazil"
-52.003,0.902,44,Amapa,Brazil,2020/12/12 01:27:11+00,0.902,-52.003,62221,48386,842,12993,,,"Amapa, Brazil"
-65.8561,-3.4168,45,Amazonas,Brazil,2020/12/12 01:27:11+00,-3.4168,-65.8561,185089,158846,4978,21265,,,"Amazonas, Brazil"
-41.7007,-12.5797,46,Bahia,Brazil,2020/12/12 01:27:11+00,-12.5797,-41.7007,436662,419448,8531,8683,,,"Bahia, Brazil"
-39.3206,-5.4984,47,Ceara,Brazil,2020/12/12 01:27:11+00,-5.4984,-39.3206,313439,257263,9768,46408,,,"Ceara, Brazil"
-47.8645,-15.7998,48,Distrito Federal,Brazil,2020/12/12 01:27:11+00,-15.7998,-47.8645,237114,226300,4043,6771,,,"Distrito Federal, Brazil"
-40.3089,-19.1834,49,Espirito Santo,Brazil,2020/12/12 01:27:11+00,-19.1834,-40.3089,208252,193721,4510,10021,,,"Espirito Santo, Brazil"
-49.8362,-15.827,50,Goias,Brazil,2020/12/12 01:27:11+00,-15.827,-49.8362,290814,281538,6520,2756,,,"Goias, Brazil"
-45.2744,-4.9609,51,Maranhao,Brazil,2020/12/12 01:27:11+00,-4.9609,-45.2744,196446,187711,4362,4373,,,"Maranhao, Brazil"
-56.9211,-12.6819,52,Mato Grosso,Brazil,2020/12/12 01:27:11+00,-12.6819,-56.9211,164599,157600,4176,2823,,,"Mato Grosso, Brazil"
-54.7852,-20.7722,53,Mato Grosso do Sul,Brazil,2020/12/12 01:27:11+00,-20.7722,-54.7852,109785,95302,1888,12595,,,"Mato Grosso do Sul, Brazil"
-44.555,-18.5122,54,Minas Gerais,Brazil,2020/12/12 01:27:11+00,-18.5122,-44.555,453364,416183,10499,26682,,,"Minas Gerais, Brazil"
-54.9306,-1.9981,55,Para,Brazil,2020/12/12 01:27:11+00,-1.9981,-54.9306,278066,260763,6972,10331,,,"Para, Brazil"
-36.782,-7.24,56,Paraiba,Brazil,2020/12/12 01:27:11+00,-7.24,-36.782,152073,119971,3407,28695,,,"Paraiba, Brazil"
-52.0215,-25.2521,57,Parana,Brazil,2020/12/12 01:27:11+00,-25.2521,-52.0215,317861,227791,6653,83417,,,"Parana, Brazil"
-36.9541,-8.8137,58,Pernambuco,Brazil,2020/12/12 01:27:11+00,-8.8137,-36.9541,195118,171535,9229,14354,,,"Pernambuco, Brazil"
-42.7289,-7.7183,59,Piaui,Brazil,2020/12/12 01:27:11+00,-7.7183,-42.7289,133336,130707,2704,-75,,,"Piaui, Brazil"
-36.9541,-5.4026,60,Rio Grande do Norte,Brazil,2020/12/12 01:27:11+00,-5.4026,-36.9541,101209,48821,2770,49618,,,"Rio Grande do Norte, Brazil"
-51.2177,-30.0346,61,Rio Grande do Sul,Brazil,2020/12/12 01:27:11+00,-30.0346,-51.2177,363979,341444,7452,15083,,,"Rio Grande do Sul, Brazil"
-43.1729,-22.9068,62,Rio de Janeiro,Brazil,2020/12/12 01:27:11+00,-22.9068,-43.1729,381644,353207,23546,4891,,,"Rio de Janeiro, Brazil"
-63.5806,-11.5057,63,Rondonia,Brazil,2020/12/12 01:27:11+00,-11.5057,-63.5806,84919,74259,1628,9032,,,"Rondonia, Brazil"
-62.0751,-2.7376,64,Roraima,Brazil,2020/12/12 01:27:11+00,-2.7376,-62.0751,65595,61934,749,2912,,,"Roraima, Brazil"
-50.2189,-27.2423,65,Santa Catarina,Brazil,2020/12/12 01:27:11+00,-27.2423,-50.2189,416752,388872,4224,23656,,,"Santa Catarina, Brazil"
-46.6333,-23.5505,66,Sao Paulo,Brazil,2020/12/12 01:27:11+00,-23.5505,-46.6333,1316371,1166823,43661,105887,,,"Sao Paulo, Brazil"
-37.3857,-10.5741,67,Sergipe,Brazil,2020/12/12 01:27:11+00,-10.5741,-37.3857,96990,86256,2351,8383,,,"Sergipe, Brazil"
-48.2982,-10.1753,68,Tocantins,Brazil,2020/12/12 01:27:11+00,-10.1753,-48.2982,84637,76004,1192,7441,,,"Tocantins, Brazil"
114.7277,4.5353,69,,Brunei,2020/12/12 01:27:11+00,4.5353,114.7277,152,147,3,2,,,Brunei
25.4858,42.7339,70,,Bulgaria,2020/12/12 01:27:11+00,42.7339,25.4858,177665,79522,5562,92581,,,Bulgaria
-1.5616,12.2383,71,,Burkina Faso,2020/12/12 01:27:11+00,12.2383,-1.5616,3579,2792,69,718,,,Burkina Faso
95.956,21.9162,72,,Burma,2020/12/12 01:27:11+00,21.9162,95.956,105863,84338,2220,19305,,,Burma
29.9189,-3.3731,73,,Burundi,2020/12/12 01:27:11+00,-3.3731,29.9189,723,640,1,82,,,Burundi
-23.0418,16.5388,74,,Cabo Verde,2020/12/12 01:27:11+00,16.5388,-23.0418,11262,10894,110,258,,,Cabo Verde
104.9167,11.55,75,,Cambodia,2020/12/12 01:27:11+00,11.55,104.9167,357,307,0,50,,,Cambodia
11.5021,3.848,76,,Cameroon,2020/12/12 01:27:11+00,3.848,11.5021,25087,23851,443,793,,,Cameroon
-116.5765,53.9333,77,Alberta,Canada,2020/12/12 01:27:11+00,53.9333,-116.5765,76792,55947,684,20161,,,"Alberta, Canada"
-127.6476,53.7267,78,British Columbia,Canada,2020/12/12 01:27:11+00,53.7267,-127.6476,40797,29598,598,10601,,,"British Columbia, Canada"
,,79,Diamond Princess,Canada,2020/12/12 01:27:11+00,,,0,0,1,0,,,"Diamond Princess, Canada"
,,80,Grand Princess,Canada,2020/12/12 01:27:11+00,,,13,13,0,0,,,"Grand Princess, Canada"
-98.8139,53.7609,81,Manitoba,Canada,2020/12/12 01:27:11+00,53.7609,-98.8139,20392,14410,465,5517,,,"Manitoba, Canada"
-66.4619,46.5653,82,New Brunswick,Canada,2020/12/12 01:27:11+00,46.5653,-66.4619,554,468,8,78,,,"New Brunswick, Canada"
-57.6604,53.1355,83,Newfoundland and Labrador,Canada,2020/12/12 01:27:11+00,53.1355,-57.6604,355,331,4,20,,,"Newfoundland and Labrador, Canada"
-124.8457,64.8255,84,Northwest Territories,Canada,2020/12/12 01:27:11+00,64.8255,-124.8457,20,15,0,5,,,"Northwest Territories, Canada"
-63.7443,44.682,85,Nova Scotia,Canada,2020/12/12 01:27:11+00,44.682,-63.7443,1402,1272,65,65,,,"Nova Scotia, Canada"
-83.1076,70.2998,86,Nunavut,Canada,2020/12/12 01:27:11+00,70.2998,-83.1076,245,189,0,56,,,"Nunavut, Canada"
-85.3232,51.2538,87,Ontario,Canada,2020/12/12 01:27:11+00,51.2538,-85.3232,140320,121956,3931,14433,,,"Ontario, Canada"
-63.4168,46.5107,88,Prince Edward Island,Canada,2020/12/12 01:27:11+00,46.5107,-63.4168,84,72,0,12,,,"Prince Edward Island, Canada"
-73.5491,52.9399,89,Quebec,Canada,2020/12/12 01:27:11+00,52.9399,-73.5491,160023,136646,7435,15942,,,"Quebec, Canada"
,,90,Repatriated Travellers,Canada,2020/12/12 01:27:11+00,,,13,13,0,0,,,"Repatriated Travellers, Canada"
-106.4509,52.9399,91,Saskatchewan,Canada,2020/12/12 01:27:11+00,52.9399,-106.4509,11475,6853,75,4547,,,"Saskatchewan, Canada"
-135.0,64.2823,92,Yukon,Canada,2020/12/12 01:27:11+00,64.2823,-135,58,54,1,3,,,"Yukon, Canada"
20.9394,6.6111,93,,Central African Republic,2020/12/12 01:27:11+00,6.6111,20.9394,4936,1924,63,2949,,,Central African Republic
18.7322,15.4542,94,,Chad,2020/12/12 01:27:11+00,15.4542,18.7322,1745,1595,102,48,,,Chad
-70.3975,-23.6509,95,Antofagasta,Chile,2020/12/12 01:27:11+00,-23.6509,-70.3975,22491,21697,569,225,,,"Antofagasta, Chile"
