Covid_Cases,Age_Group
1,40-49
2,50-59
3,20-29
4,30-39
5,30-39
6,30-39
7,40-49
8,60-69
9,30-39
10,50-59
11,50-59
12,60-69
13,80-89
14,20-29
15,30-39
16,50-59
17,60-69
18,50-59
19,50-59
20,50-59
21,50-59
22,50-59
23,50-59
24,60-69
25,60-69
26,50-59
27,60-69
28,70-79
29,80-89
30,50-59
31,40-49
32,40-49
33,40-49
34,70-79
35,30-39
36,30-39
37,20-29
38,60-69
39,90-99
40,60-69
41,60-69
42,40-49
43,40-49
44,60-69
45,90-99
46,50-59
47,50-59
48,40-49
49,70-79
50,60-69
51,50-59
52,60-69
53,60-69
54,40-49
55,70-79
56,70-79
57,50-59
58,60-69
59,50-59
60,70-79
61,40-49
62,40-49
63,70-79
64,60-69
65,30-39
66,80-89
67,60-69
68,90-99
69,40-49
70,80-89
71,70-79
72,40-49
73,40-49
74,50-59
75,30-39
76,50-59
77,50-59
78,50-59
79,50-59
80,20-29
81,30-39
82,60-69
83,60-69
84,60-69
85,50-59
86,60-69
87,70-79
88,70-79
89,30-39
90,20-29
91,60-69
92,20-29
93,70-79
94,50-59
95,30-39
96,50-59
97,30-39
98,40-49
99,50-59
100,60-69
101,40-49
102,80-89
103,30-39
104,40-49
105,60-69
106,60-69
107,90-99
108,20-29
109,40-49
110,50-59
111,80-89
112,30-39
113,30-39
114,50-59
115,70-79
116,50-59
117,50-59
118,70-79
119,30-39
120,60-69
121,40-49
122,70-79
123,60-69
124,70-79
125,30-39
126,40-49
127,60-69
128,80-89
129,50-59
130,20-29
131,80-89
132,90-99
133,80-89
134,70-79
135,50-59
136,50-59
137,80-89
138,50-59
139,50-59
140,30-39
141,80-89
142,40-49
143,30-39
144,80-89
145,90-99
146,20-29
147,70-79
148,60-69
149,50-59
150,30-39
151,30-39
152,50-59
153,80-89
154,20-29
155,50-59
156,20-29
157,40-49
158,70-79
159,60-69
160,50-59
161,70-79
162,40-49
163,40-49
164,60-69
165,60-69
166,90-99
167,50-59
168,40-49
169,30-39
170,30-39
171,50-59
172,20-29
173,40-49
174,40-49
175,50-59
176,20-29
177,50-59
178,30-39
179,30-39
180,90-99
181,60-69
182,80-89
183,90-99
184,90-99
185,50-59
186,80-89
187,50-59
188,80-89
189,30-39
190,90-99
191,30-39
192,30-39
193,40-49
194,80-89
195,50-59
196,50-59
197,60-69
198,20-29
199,30-39
200,30-39
201,40-49
202,40-49
203,50-59
204,40-49
205,50-59
206,30-39
207,70-79
208,30-39
209,90-99
210,90-99
211,70-79
212,30-39
213,20-29
214,20-29
215,50-59
216,20-29
217,50-59
218,50-59
219,50-59
220,90-99
221,70-79
222,40-49
223,80-89
224,70-79
225,90-99
226,90-99
227,70-79
228,90-99
229,80-89
230,90-99
231,80-89
232,40-49
233,40-49
234,60-69
235,30-39
236,70-79
237,80-89
238,80-89
239,70-79
240,60-69
241,30-39
242,50-59
243,40-49
244,20-29
245,20-29
246,30-39
247,20-29
248,20-29
249,20-29
250,40-49
251,40-49
252,40-49
253,50-59
254,30-39
255,40-49
256,20-29
257,30-39
258,40-49
259,50-59
260,50-59
261,20-29
262,40-49
263,70-79
264,40-49
265,70-79
266,40-49
267,40-49
268,30-39
269,30-39
270,70-79
271,70-79
272,80-89
273,30-39
274,30-39
275,40-49
276,30-39
277,50-59
278,40-49
279,40-49
280,80-89
281,70-79
282,80-89
283,60-69
284,40-49
285,20-29
286,80-89
287,90-99
288,80-89
289,30-39
290,50-59
291,50-59
292,0-19
293,60-69
294,60-69
295,80-89
296,60-69
297,50-59
298,40-49
299,60-69
300,20-29
301,30-39
302,30-39
303,50-59
304,60-69
305,40-49
306,20-29
307,30-39
308,20-29
309,60-69
310,60-69
311,30-39
312,30-39
313,20-29
314,30-39
315,30-39
316,30-39
317,50-59
318,60-69
319,50-59
320,60-69
321,60-69
322,60-69
323,60-69
324,90-99
325,80-89
326,80-89
327,50-59
328,60-69
329,40-49
330,20-29
331,30-39
332,40-49
333,30-39
334,60-69
335,60-69
336,60-69
337,60-69
338,40-49
339,80-89
340,40-49
341,40-49
342,70-79
343,50-59
344,30-39
345,30-39
346,30-39
347,30-39
348,20-29
349,50-59
350,40-49
351,30-39
352,30-39
353,40-49
354,40-49
355,30-39
356,40-49
357,30-39
358,40-49
359,50-59
360,40-49
361,60-69
362,60-69
363,40-49
364,70-79
365,20-29
366,60-69
367,40-49
368,40-49
369,50-59
370,50-59
371,20-29
372,50-59
373,50-59
374,30-39
375,30-39
376,30-39
377,70-79
378,50-59
379,30-39
380,40-49
381,60-69
382,40-49
383,60-69
384,40-49
385,60-69
386,40-49
387,60-69
388,50-59
389,30-39
390,60-69
391,30-39
392,60-69
393,30-39
394,70-79
395,20-29
396,40-49
397,50-59
398,40-49
399,30-39
400,50-59
401,50-59
402,30-39
403,30-39
404,50-59
405,30-39
406,70-79
407,50-59
408,40-49
409,30-39
410,30-39
411,50-59
412,70-79
413,60-69
414,40-49
415,30-39
416,80-89
417,80-89
418,80-89
419,60-69
420,30-39
421,50-59
422,20-29
423,50-59
424,70-79
425,40-49
426,40-49
427,70-79
428,30-39
429,80-89
430,80-89
431,80-89
432,80-89
433,70-79
434,70-79
435,40-49
436,60-69
437,70-79
438,50-59
439,60-69
440,30-39
441,20-29
442,40-49
443,30-39
444,70-79
445,30-39
446,30-39
447,60-69
448,60-69
449,80-89
450,70-79
451,50-59
452,70-79
453,40-49
454,60-69
455,70-79
456,50-59
457,50-59
458,30-39
459,40-49
460,0-19
461,60-69
462,60-69
463,40-49
464,20-29
465,70-79
466,70-79
467,50-59
468,50-59
469,50-59
470,50-59
471,30-39
472,30-39
473,50-59
474,70-79
475,30-39
476,30-39
477,40-49
478,50-59
479,50-59
480,60-69
481,20-29
482,80-89
483,50-59
484,30-39
485,70-79
486,20-29
487,50-59
488,60-69
489,40-49
490,50-59
491,70-79
492,40-49
493,80-89
494,30-39
495,60-69
496,40-49
497,70-79
498,60-69
499,60-69
500,50-59
501,40-49
502,70-79
503,80-89
504,70-79
505,70-79
506,70-79
507,60-69
508,70-79
509,60-69
510,60-69
511,60-69
512,50-59
513,80-89
514,50-59
515,50-59
516,50-59
517,50-59
518,70-79
519,30-39
520,40-49
521,60-69
522,30-39
523,30-39
524,40-49
525,50-59
526,30-39
527,30-39
528,20-29
529,20-29
530,40-49
531,30-39
532,20-29
533,20-29
534,30-39
535,70-79
536,50-59
537,50-59
538,30-39
539,30-39
540,60-69
541,30-39
542,30-39
543,20-29
544,30-39
545,50-59
546,50-59
547,50-59
548,20-29
549,30-39
550,50-59
551,40-49
552,50-59
553,20-29
554,20-29
555,70-79
556,30-39
557,80-89
558,80-89
559,90-99
560,90-99
561,40-49
562,80-89
563,40-49
564,30-39
565,30-39
566,50-59
567,30-39
568,50-59
569,40-49
570,50-59
571,50-59
572,50-59
573,40-49
574,90-99
575,60-69
576,80-89
577,80-89
578,90-99
579,60-69
580,50-59
581,30-39
582,40-49
583,30-39
584,30-39
585,90-99
586,80-89
587,70-79
588,70-79
589,60-69
590,30-39
591,50-59
592,60-69
593,70-79
594,30-39
595,50-59
596,20-29
597,40-49
598,30-39
599,20-29
600,20-29
601,40-49
602,30-39
603,20-29
604,20-29
605,30-39
606,50-59
607,30-39
608,80-89
609,50-59
610,70-79
611,20-29
612,60-69
613,50-59
614,80-89
615,90-99
616,40-49
617,50-59
618,30-39
619,20-29
620,40-49
621,60-69
622,30-39
623,50-59
624,50-59
625,30-39
626,40-49
627,30-39
628,60-69
629,30-39
630,20-29
631,70-79
632,40-49
633,70-79
634,50-59
635,60-69
636,50-59
637,60-69
638,40-49
639,70-79
640,40-49
