Covid_Cases,Place
1,Out of Canada
2,Vancouver Coastal
3,Out of Canada
4,Out of Canada
5,Interior
6,Fraser
7,Fraser
8,Vancouver Coastal
9,Vancouver Coastal
10,Fraser
11,Vancouver Coastal
12,Vancouver Coastal
13,Vancouver Coastal
14,Vancouver Coastal
15,Vancouver Coastal
16,Vancouver Coastal
17,Vancouver Coastal
18,Out of Canada
19,Out of Canada
20,Out of Canada
21,Fraser
22,Fraser
23,Fraser
24,Fraser
25,Fraser
26,Fraser
27,Fraser
28,Vancouver Coastal
29,Vancouver Coastal
30,Vancouver Coastal
31,Fraser
32,Fraser
33,Fraser
34,Fraser
35,Vancouver Coastal
36,Vancouver Coastal
37,Vancouver Coastal
38,Northern
39,Fraser
40,Fraser
41,Fraser
42,Fraser
43,Fraser
44,Vancouver Island
45,Vancouver Coastal
46,Vancouver Coastal
47,Vancouver Coastal
48,Vancouver Coastal
49,Northern
50,Fraser
51,Fraser
52,Fraser
53,Fraser
54,Fraser
55,Fraser
56,Fraser
57,Fraser
58,Interior
59,Vancouver Coastal
60,Vancouver Coastal
61,Vancouver Coastal
62,Vancouver Coastal
63,Vancouver Coastal
64,Vancouver Coastal
65,Vancouver Coastal
66,Vancouver Coastal
67,Vancouver Coastal
68,Vancouver Coastal
69,Vancouver Coastal
70,Fraser
71,Fraser
72,Fraser
73,Fraser
74,Vancouver Coastal
75,Vancouver Coastal
76,Vancouver Coastal
77,Vancouver Coastal
78,Vancouver Coastal
79,Vancouver Coastal
80,Vancouver Coastal
81,Vancouver Coastal
82,Fraser
83,Fraser
84,Fraser
85,Fraser
86,Interior
87,Interior
88,Interior
89,Vancouver Island
90,Vancouver Island
91,Vancouver Coastal
92,Vancouver Coastal
93,Vancouver Coastal
94,Vancouver Coastal
95,Vancouver Coastal
96,Vancouver Coastal
97,Vancouver Coastal
98,Vancouver Coastal
99,Vancouver Coastal
100,Vancouver Coastal
101,Vancouver Coastal
102,Vancouver Coastal
103,Vancouver Coastal
104,Vancouver Coastal
105,Vancouver Coastal
106,Vancouver Coastal
107,Fraser
108,Fraser
109,Interior
110,Vancouver Island
111,Vancouver Island
112,Vancouver Coastal
113,Vancouver Coastal
114,Vancouver Coastal
115,Vancouver Coastal
116,Vancouver Coastal
117,Vancouver Coastal
118,Vancouver Coastal
119,Fraser
120,Fraser
121,Fraser
122,Interior
123,Vancouver Island
124,Vancouver Island
125,Vancouver Island
126,Vancouver Island
127,Vancouver Island
128,Vancouver Coastal
129,Vancouver Coastal
130,Vancouver Coastal
131,Vancouver Coastal
132,Vancouver Coastal
133,Vancouver Coastal
134,Vancouver Coastal
135,Vancouver Coastal
136,Vancouver Coastal
137,Vancouver Coastal
138,Vancouver Coastal
139,Vancouver Coastal
140,Vancouver Coastal
141,Vancouver Coastal
142,Vancouver Coastal
143,Vancouver Coastal
144,Vancouver Coastal
145,Vancouver Coastal
146,Vancouver Coastal
147,Fraser
148,Fraser
149,Fraser
150,Fraser
151,Fraser
152,Fraser
153,Fraser
154,Fraser
155,Fraser
156,Fraser
157,Fraser
158,Interior
159,Out of Canada
160,Out of Canada
161,Vancouver Island
162,Vancouver Island
163,Northern
164,Northern
165,Vancouver Coastal
166,Vancouver Coastal
167,Vancouver Coastal
168,Vancouver Coastal
169,Vancouver Coastal
170,Vancouver Coastal
171,Vancouver Coastal
172,Vancouver Coastal
173,Vancouver Coastal
174,Vancouver Coastal
175,Vancouver Coastal
176,Vancouver Coastal
177,Vancouver Coastal
178,Vancouver Coastal
179,Vancouver Coastal
180,Vancouver Coastal
181,Vancouver Coastal
182,Vancouver Coastal
183,Vancouver Coastal
184,Vancouver Coastal
185,Vancouver Coastal
186,Vancouver Coastal
187,Vancouver Coastal
188,Vancouver Coastal
189,Vancouver Coastal
190,Vancouver Coastal
191,Vancouver Coastal
192,Vancouver Coastal
193,Fraser
194,Fraser
195,Fraser
196,Fraser
197,Fraser
198,Fraser
199,Fraser
200,Fraser
201,Fraser
202,Fraser
203,Fraser
204,Interior
205,Vancouver Island
206,Vancouver Island
207,Vancouver Island
208,Vancouver Island
209,Vancouver Coastal
210,Vancouver Coastal
211,Vancouver Coastal
212,Vancouver Coastal
213,Vancouver Coastal
214,Vancouver Coastal
215,Vancouver Coastal
216,Vancouver Coastal
217,Vancouver Coastal
218,Vancouver Coastal
219,Vancouver Coastal
220,Vancouver Coastal
221,Vancouver Coastal
222,Vancouver Coastal
223,Vancouver Coastal
224,Vancouver Coastal
225,Vancouver Coastal
226,Vancouver Coastal
227,Vancouver Coastal
228,Vancouver Coastal
229,Vancouver Coastal
230,Vancouver Coastal
231,Vancouver Coastal
232,Vancouver Coastal
233,Vancouver Coastal
234,Fraser
235,Fraser
236,Fraser
237,Fraser
238,Fraser
239,Fraser
240,Fraser
241,Fraser
242,Fraser
243,Fraser
244,Fraser
245,Fraser
246,Fraser
247,Fraser
248,Fraser
249,Fraser
250,Fraser
251,Fraser
252,Fraser
253,Fraser
254,Fraser
255,Fraser
256,Fraser
257,Interior
258,Vancouver Island
259,Vancouver Island
260,Vancouver Island
261,Vancouver Island
262,Vancouver Island
263,Vancouver Island
264,Vancouver Island
265,Vancouver Coastal
266,Vancouver Coastal
267,Vancouver Coastal
268,Vancouver Coastal
269,Vancouver Coastal
270,Vancouver Coastal
271,Vancouver Coastal
272,Vancouver Coastal
273,Vancouver Coastal
274,Vancouver Coastal
275,Vancouver Coastal
276,Vancouver Coastal
277,Vancouver Coastal
278,Vancouver Coastal
279,Vancouver Coastal
280,Vancouver Coastal
281,Vancouver Coastal
282,Vancouver Coastal
283,Vancouver Coastal
284,Vancouver Coastal
285,Vancouver Coastal
286,Vancouver Coastal
287,Vancouver Coastal
288,Vancouver Coastal
289,Vancouver Coastal
290,Vancouver Coastal
291,Vancouver Coastal
292,Vancouver Coastal
293,Vancouver Coastal
294,Fraser
295,Fraser
296,Fraser
297,Fraser
298,Fraser
299,Fraser
300,Fraser
301,Fraser
302,Fraser
303,Fraser
304,Fraser
305,Fraser
306,Interior
307,Interior
308,Interior
309,Interior
310,Vancouver Island
311,Vancouver Island
312,Vancouver Island
313,Vancouver Island
314,Vancouver Island
315,Vancouver Island
316,Vancouver Island
317,Vancouver Coastal
318,Vancouver Coastal
319,Vancouver Coastal
320,Vancouver Coastal
321,Vancouver Coastal
322,Vancouver Coastal
323,Vancouver Coastal
324,Vancouver Coastal
325,Vancouver Coastal
326,Vancouver Coastal
327,Vancouver Coastal
328,Vancouver Coastal
329,Vancouver Coastal
330,Vancouver Coastal
331,Vancouver Coastal
332,Vancouver Coastal
333,Vancouver Coastal
334,Vancouver Coastal
335,Vancouver Coastal
336,Vancouver Coastal
337,Vancouver Coastal
338,Vancouver Coastal
339,Vancouver Coastal
340,Vancouver Coastal
341,Fraser
342,Fraser
343,Fraser
344,Fraser
345,Fraser
346,Fraser
347,Fraser
348,Fraser
349,Fraser
350,Out of Canada
351,Fraser
352,Fraser
353,Fraser
354,Fraser
355,Interior
356,Interior
357,Interior
358,Interior
359,Interior
360,Interior
361,Interior
362,Interior
363,Interior
364,Vancouver Island
365,Vancouver Island
366,Vancouver Island
367,Vancouver Island
368,Vancouver Island
369,Vancouver Coastal
370,Vancouver Coastal
371,Vancouver Coastal
372,Vancouver Coastal
373,Vancouver Coastal
374,Vancouver Coastal
375,Vancouver Coastal
376,Vancouver Coastal
377,Vancouver Coastal
378,Vancouver Coastal
379,Vancouver Coastal
380,Vancouver Coastal
381,Vancouver Coastal
382,Vancouver Coastal
383,Vancouver Coastal
384,Vancouver Coastal
385,Vancouver Coastal
386,Vancouver Coastal
387,Vancouver Coastal
388,Vancouver Coastal
389,Vancouver Coastal
390,Vancouver Coastal
391,Vancouver Coastal
392,Vancouver Coastal
393,Vancouver Coastal
394,Vancouver Coastal
395,Vancouver Coastal
396,Vancouver Coastal
397,Vancouver Coastal
398,Vancouver Coastal
399,Vancouver Coastal
400,Vancouver Coastal
401,Vancouver Coastal
402,Fraser
403,Fraser
404,Fraser
405,Fraser
406,Interior
407,Interior
408,Interior
409,Interior
410,Interior
411,Interior
412,Vancouver Island
413,Vancouver Island
414,Vancouver Coastal
415,Vancouver Coastal
416,Vancouver Coastal
417,Vancouver Coastal
418,Vancouver Coastal
419,Vancouver Coastal
420,Vancouver Coastal
421,Vancouver Coastal
422,Vancouver Coastal
423,Vancouver Coastal
424,Vancouver Coastal
425,Vancouver Coastal
426,Vancouver Coastal
427,Vancouver Coastal
428,Vancouver Coastal
429,Vancouver Coastal
430,Vancouver Coastal
431,Vancouver Coastal
432,Vancouver Coastal
433,Vancouver Coastal
434,Vancouver Coastal
435,Vancouver Coastal
436,Vancouver Coastal
437,Vancouver Coastal
438,Vancouver Coastal
439,Vancouver Coastal
440,Vancouver Coastal
441,Vancouver Coastal
442,Vancouver Coastal
443,Vancouver Coastal
444,Vancouver Coastal
445,Vancouver Coastal
446,Vancouver Coastal
447,Vancouver Coastal
448,Vancouver Coastal
449,Fraser
450,Fraser
451,Fraser
452,Fraser
453,Fraser
454,Fraser
455,Fraser
456,Fraser
457,Interior
458,Interior
459,Interior
460,Interior
461,Interior
462,Interior
463,Vancouver Island
464,Vancouver Island
465,Vancouver Island
466,Vancouver Island
467,Vancouver Island
468,Northern
469,Vancouver Coastal
470,Vancouver Coastal
471,Vancouver Coastal
472,Vancouver Coastal
473,Vancouver Coastal
474,Vancouver Coastal
475,Vancouver Coastal
476,Vancouver Coastal
477,Vancouver Coastal
478,Vancouver Coastal
479,Vancouver Coastal
480,Vancouver Coastal
481,Vancouver Coastal
482,Vancouver Coastal
483,Vancouver Coastal
484,Vancouver Coastal
485,Vancouver Coastal
486,Vancouver Coastal
487,Vancouver Coastal
488,Vancouver Coastal
489,Vancouver Coastal
490,Vancouver Coastal
491,Vancouver Coastal
492,Fraser
493,Fraser
494,Fraser
495,Fraser
496,Fraser
497,Fraser
498,Fraser
499,Fraser
500,Fraser
501,Fraser
502,Fraser
503,Fraser
504,Fraser
505,Fraser
506,Fraser
507,Fraser
508,Fraser
509,Fraser
510,Fraser
511,Fraser
512,Fraser
513,Fraser
514,Fraser
515,Fraser
516,Fraser
517,Fraser
518,Fraser
519,Fraser
520,Fraser
521,Fraser
522,Fraser
523,Fraser
524,Fraser
525,Fraser
526,Fraser
527,Fraser
528,Fraser
529,Fraser
530,Out of Canada
531,Fraser
532,Fraser
533,Fraser
534,Fraser
535,Fraser
536,Fraser
537,Fraser
538,Fraser
539,Fraser
540,Fraser
541,Fraser
542,Fraser
543,Fraser
544,Fraser
545,Fraser
546,Fraser
547,Fraser
548,Fraser
549,Interior
550,Vancouver Island
551,Northern
552,Vancouver Coastal
553,Vancouver Coastal
554,Vancouver Coastal
555,Vancouver Coastal
556,Vancouver Coastal
557,Vancouver Coastal
558,Vancouver Coastal
559,Vancouver Coastal
560,Vancouver Coastal
561,Vancouver Coastal
562,Vancouver Coastal
563,Vancouver Coastal
564,Vancouver Coastal
565,Vancouver Coastal
566,Vancouver Coastal
567,Vancouver Coastal
568,Vancouver Coastal
569,Vancouver Coastal
570,Vancouver Coastal
571,Vancouver Coastal
572,Vancouver Coastal
573,Vancouver Coastal
574,Vancouver Coastal
575,Vancouver Coastal
576,Vancouver Coastal
577,Vancouver Coastal
578,Vancouver Coastal
579,Vancouver Coastal
580,Fraser
581,Fraser
582,Fraser
583,Fraser
584,Fraser
585,Fraser
586,Fraser
587,Fraser
588,Fraser
589,Fraser
590,Fraser
591,Fraser
592,Fraser
593,Fraser
594,Fraser
595,Fraser
596,Fraser
597,Fraser
598,Fraser
599,Fraser
600,Fraser
601,Fraser
602,Fraser
603,Fraser
604,Interior
605,Interior
606,Interior
607,Interior
608,Vancouver Island
609,Vancouver Island
610,Vancouver Island
611,Northern
612,Northern
613,Northern
614,Vancouver Coastal
615,Vancouver Coastal
616,Vancouver Coastal
617,Vancouver Coastal
618,Vancouver Coastal
619,Vancouver Coastal
620,Vancouver Coastal
621,Vancouver Coastal
622,Vancouver Coastal
623,Vancouver Coastal
624,Vancouver Coastal
625,Vancouver Coastal
626,Vancouver Coastal
627,Vancouver Coastal
628,Vancouver Coastal
629,Out of Canada
630,Vancouver Coastal
631,Vancouver Coastal
632,Vancouver Coastal
633,Vancouver Coastal
634,Vancouver Coastal
635,Vancouver Coastal
636,Vancouver Coastal
637,Vancouver Coastal
638,Vancouver Coastal
639,Fraser
640,Fraser
641,Fraser
642,Fraser
643,Fraser
644,Fraser
645,Fraser
646,Fraser
647,Fraser
648,Fraser
649,Fraser
650,Fraser
651,Fraser
652,Fraser
653,Fraser
654,Fraser
655,Fraser
656,Fraser
657,Fraser
658,Fraser
659,Fraser
660,Fraser
661,Fraser
662,Fraser
663,Fraser
664,Fraser
665,Interior
666,Interior
667,Interior
668,Interior
669,Interior
670,Interior
671,Interior
672,Interior
673,Interior
674,Interior
675,Interior
676,Interior
677,Interior
678,Interior
679,Interior
680,Interior
681,Interior
682,Vancouver Island
683,Vancouver Island
684,Vancouver Island
685,Vancouver Island
686,Vancouver Island
687,Vancouver Coastal
688,Vancouver Coastal
689,Vancouver Coastal
690,Vancouver Coastal
691,Vancouver Coastal
692,Vancouver Coastal
693,Vancouver Coastal
694,Vancouver Coastal
